fuente,titulo,contenido,seccion,liga,fecha
expansion,EU y China dialogan en Suiza para reducir la tensión arancelaria,"Altos funcionarios de ambos países se reunieron en Suiza, tras meses de tensiones comerciales por aranceles que han golpeado las cadenas de suministro globales.",economia,https://expansion.mx/economia/2025/05/10/eu-china-negocian-en-suiza-para-reducir-tension-arancelaria,10/05/2025
expansion,Hacienda descarta estímulos a las gasolinas y diésel para una semana más,Esta es la quinta semana consecutiva en que la Magna y el diésel no cuentan con descuentos a sus cuotas IEPS.,economia,https://expansion.mx/economia/2025/05/09/hacienda-quita-estimulo-fiscal-gasolinas-diesel-semana-mas,09/05/2025
expansion,CNBV: No hay banca que perdure sin un compromiso de desarrollo nacional,"Jesús de la Fuente, titular de la CNBV, dijo que están analizando siete propuestas de bancos digitales que buscan una licencia bancaria.",economia,https://expansion.mx/economia/2025/05/09/cnbv-no-hay-banca-que-perdure-sin-un-compromiso-de-desarrollo-nacional,09/05/2025
expansion,Emilio Romano asume como presidente de la ABM; promete más digitalización,El director de Bank of America rindió protesta como nuevo presidente de la Asociación de Bancos de México y dijo que trabajará en reducir el uso del efectivo y aumentar la inclusión financiera.,economia,https://expansion.mx/economia/2025/05/09/emilio-romano-asume-como-presidente-de-la-abm-promete-mas-digitalizacion,09/05/2025
expansion,Los errores del pasado y el perfeccionismo del SAT le ponen freno a devoluciones,Contadores refieren que el fisco aplica modificaciones para mejorar los métodos de verificación para las devoluciones.,economia,https://expansion.mx/economia/2025/05/09/por-que-sat-aun-no-me-hace-mi-devolucion-de-impuestos,09/05/2025
expansion,"Huachicol genera una merma importante a las finanzas, señala Hacienda","No es admisible que mientras la gran mayoría de los contribuyentes paga sus impuestos, haya quienes evaden y eluden sus obligaciones, aseguró el secretario de Hacienda, Édgar Amador Zamora.",economia,https://expansion.mx/economia/2025/05/09/convencion-bancaria-2025-huachicol-cuesta-caro-a-mexico,09/05/2025
expansion,"OMC: Las negociaciones entre EU y China, ""un paso positivo"" hacia la desescalada","Las conversaciones en Ginebra, a petición de los estadounidenses, según China, están rodeadas del mayor secretismo.",economia,https://expansion.mx/economia/2025/05/09/omc-las-negociaciones-entre-eu-y-china-un-paso-positivo-hacia-la-desescalada,09/05/2025
expansion,"Antes de reunión con China, Trump dice que arancel del 80% ""parece correcto""",Representantes de Estados Unidos se reunirán en Suiza con el zar económico chino para mantener una reunión que podría ser el primer paso hacia la resolución de sus disputas comerciales.,economia,https://expansion.mx/economia/2025/05/09/antes-de-reunion-con-china-trump-dice-que-arancel-del-80-parece-correcto,09/05/2025
expansion,"#Crónica | Una fiesta bancaria entre laberintos, humo blanco y optimismo","La ABM presumió que el sistema financiero es sólido y bien capitalizado, pero Sheinbaum, Banxico y Hacienda le recuerdan que tiene una deuda con la población, la inclusión y servicios más accesibles.",economia,https://expansion.mx/economia/2025/05/09/cronica-una-fiesta-bancaria-entre-laberintos-humo-blanco-y-optimismo,09/05/2025
expansion,Banxico pide a la banca creatividad para dar soluciones financieras accesibles,"La gobernadora del Banco de México (Banxico), Victoria Rodríguez, hizo un llamado a la banca para que se desarrolle un sistema financiero más inclusivo apoyado de los beneficios de la tecnología.",economia,https://expansion.mx/economia/2025/05/08/banxico-pide-a-la-banca-creatividad-para-dar-soluciones-financieras-accesibles,09/05/2025
expansion,Gobierno y bancos acuerdan aumentar 3.5% anual el financiamiento a pymes,"La presidenta Claudia Sheinbaum y la ABM suscribieron el plan para el periodo 2025-2030, en el que también buscan impulsar la digitalización, formalización y bancarización de estas unidades.",economia,https://expansion.mx/economia/2025/05/08/gobierno-y-bancos-acuerdan-aumentar-3-5-anual-el-financiamiento-a-pymes,09/05/2025
expansion,Fentanilo detona ofensiva financiera contra crimen en México y EU,"La orden ejecutiva que envió Trump para catalogar a los cárteles de droga en organizaciones terroristas es un reconocimiento de la presión de EU, afirma la presidenta del Grupo de Acción Financiera.",economia,https://expansion.mx/economia/2025/05/08/presion-por-fentanilo-obliga-reforzar-vigilancia-financiera,08/05/2025
expansion,"Citigroup enfrenta demanda de 1,000 mmd en caso de fraude de petrolera mexicana","Los demandantes afirman que Citigroup adelantó 3,300 millones de dólares a Oceanografía entre 2008 y 2014 pese a saber que la empresa tenía demasiada deuda y había estado falsificando firmas de Pemex.",economia,https://expansion.mx/economia/2025/05/08/citigroup-enfrenta-demanda-oceanografia,08/05/2025
expansion,Banqueros ven 'inicios' de desaceleración del crédito,"Ante la desaceleración de la economía, la banca mexicana espera que el crédito que dan a empresas y personas crezca 7.1% en una economía que este año crecerá 0.2%.",economia,https://expansion.mx/economia/2025/05/08/convencion-bancaria-2025-banqueros-desaceleracion-credito,08/05/2025
expansion,Donald Trump da los detalles del acuerdo comercial con Reino Unido,"Estados Unidos ganó mayor acceso de productos agrícolas al mercado británico, una aerolínea comprará aviones Boeing por 10,000 mdd y se mantendrá la tasa base de aranceles de 10%.",economia,https://expansion.mx/economia/2025/05/08/trump-anuncia-un-acuerdo-total-y-completo-con-reino-unido,08/05/2025
expansion,Inflación en abril se ubicó en 3.93% y superó expectativas del mercado,"Los productos genéricos que más contribuyeron al alza en los precios fueron el jitomate, la carne de res y el aguacate.",economia,https://expansion.mx/economia/2025/05/08/inflacion-en-abril-se-ubico-en-3-93-y-supero-expectativas-del-mercado,08/05/2025
expansion,La banca pone el ojo en jóvenes y pymes para mantener el crecimiento de crédito,"Pese a ser un año en el que se espera una contracción económica, los bancos apuestan por la digitalización para atraer a los jóvenes y por las alianzas con el gobierno para financiar a las pymes.",economia,https://expansion.mx/economia/2025/05/08/banca-pone-ojo-jovenes-y-pymes-para-crecimiento-de-credito,08/05/2025
expansion,La Fed mantiene las tasas y menciona riesgo de mayor inflación y desempleo,"La economía en general ""ha seguido expandiéndose a un ritmo sólido"", señaló la Reserva Federal en su comunicado de política monetaria.",economia,https://expansion.mx/economia/2025/05/07/la-fed-mantiene-las-tasas-y-menciona-riesgo-de-mayor-inflacion-y-desempleo,07/05/2025
expansion,Banxico prevé nuevos recortes a la tasa si la inflación se mantiene estable,La gobernadora del banco central advirtió que el incierto entorno y una posible desaceleración en Estados Unidos sugieren que la economía mexicana puede presentar atonía durante 2025.,economia,https://expansion.mx/economia/2025/05/07/banxico-nuevos-recortes-a-tasa-inflacion-estable-rodriguez,07/05/2025
expansion,"China defenderá la ""justicia"" en su negociación comercial con EU","Las negociaciones del fin de semana en Suiza se efectuarán por solicitud de Estados Unidos, puntualizó la cancillería china.",economia,https://expansion.mx/economia/2025/05/07/china-defendera-la-justicia-en-su-negociacion-comercial-con-eu,07/05/2025
expansion,"Banxico aún tiene margen para bajar tasa clave, asegura Heath","El subgobernador precisó que dada la baja de la tasa real ex-ante hay margen para ajustar la de referencia, pero manteniéndola en territorio restrictivo porque aún no es tiempo de llevarla a neutral.",economia,https://expansion.mx/economia/2025/05/07/banxico-aun-tiene-margen-para-bajar-tasa-clave-asegura-heath,07/05/2025
expansion,"La banca endurece controles antiterrorismo con abogados, tecnología y cierres","Mientras algunos bancos como Multiva y Banorte se asesoran con equipos de abogados, Santander y HSBC optan por tomar las mejores prácticas de subsidiarias en Estados Unidos.",economia,https://expansion.mx/economia/2025/05/07/la-banca-endurece-controles-antiterrorismo-con-abogados-tecnologia-y-cierres,07/05/2025
expansion,Los aranceles y las compras por internet aceleran la recaudación de Hacienda,"De todos los gravámenes, los impuestos de importación fueron los que más incrementaron en el primer trimestre de 2025, informa Hacienda.",economia,https://expansion.mx/economia/2025/05/06/impuesto-importacion-temu-aranceles-recaudacion-hacienda,06/05/2025
expansion,Trump pone en duda vigencia del T-MEC; lo renegociará o lo terminará,"""El T-MEC fue muy eficaz y sigue siéndolo, pero las partes deben cumplirlo. No lo han hecho"", dijo.",economia,https://expansion.mx/economia/2025/05/06/trump-pone-duda-continuidad-del-t-mec,06/05/2025
expansion,Los Cetes a 28 días registran tercera semana consecutiva a la baja,Los rendimientos de los Cetes de corto plazo bajaron la tasa de retorno ante la expectativa de que este mes el Banco de México (Banxico) haga un nuevo recorte a la tasa de interés.,economia,https://expansion.mx/economia/2025/05/06/los-cetes-a-28-dias-registran-tercera-semana-consecutiva-a-la-baja,06/05/2025
